# symbol	expected_crc
___pskb_trim	0x5ed4446a
__alloc_skb	0xb9b1f28d
__dev_change_net_namespace	0x0f5f3343
__dev_get_by_index	0xb8543eb6
__dev_kfree_skb_any	0x2a3dc045
__drm_atomic_helper_connector_destroy_state	0xcb3a10e4
__drm_atomic_helper_connector_duplicate_state	0x6f5bc337
__drm_atomic_helper_connector_reset	0x456d9e1a
__drm_atomic_helper_crtc_destroy_state	0x51733d2a
__drm_atomic_helper_crtc_duplicate_state	0x0ad7cc2a
__drm_atomic_helper_plane_duplicate_state	0xb8eaf34c
__napi_schedule	0x32d96e7b
__netdev_alloc_skb	0xc4646201
__netif_napi_del	0x0b393607
__netlink_kernel_create	0x42468dbb
__nlmsg_put	0xbeff675b
__pskb_pull_tail	0xa76ece10
__put_net	0x98662f48
__sdhci_add_host	0x1a1e740a
__sdhci_set_timeout	0x5a32a947
__skb_gso_segment	0xb1526bb2
__skb_pad	0x3c27a1cf
__sock_create	0xa138ffba
_dev_crit	0x4f6ca275
_dev_emerg	0x716cbc52
_dev_err	0xfb83a2a6
_dev_info	0x6aefebc3
_dev_notice	0xce82ef75
_dev_warn	0xf4cff926
alloc_etherdev_mqs	0x8df1e551
alloc_netdev_mqs	0xb2f23b63
alloc_skb_with_frags	0x26674c8f
bpf_trace_run1	0xc66abdd8
bpf_trace_run10	0x186658fd
bpf_trace_run11	0xeb39220e
bpf_trace_run12	0x413cae7a
bpf_trace_run2	0x5b75e521
bpf_trace_run3	0xbd3f1d89
bpf_trace_run4	0x4efc6489
bpf_trace_run5	0x6cd7cede
bpf_trace_run6	0xb6ca7751
bpf_trace_run7	0x0d4f2fe5
bpf_trace_run8	0x96a3087c
bpf_trace_run9	0xe5fc6f76
build_skb	0x0ff5522b
cgroup_taskset_first	0xa776e0ec
cgroup_taskset_next	0x715260b0
consume_skb	0x58d56222
crypto_alloc_skcipher	0x2235b050
crypto_alloc_sync_skcipher	0x28780bb5
crypto_dequeue_request	0xddac6f20
crypto_enqueue_request	0x388f750f
crypto_register_skcipher	0x5d8e3d30
crypto_skcipher_decrypt	0xbb749c17
crypto_skcipher_encrypt	0xbbacb1cc
crypto_skcipher_setkey	0x2d5e67d8
crypto_unregister_skcipher	0x557eb2ad
css_next_child	0x9f0d6b33
datagram_poll	0xb664b742
dev_alloc_name	0xea763380
dev_close	0x87361a72
dev_driver_string	0x273a8095
dev_err_probe	0x9583d7d5
dev_fwnode	0xdbcd27e2
dev_get_by_index	0xb4d35af2
dev_get_by_name	0x26959a69
dev_get_by_name_rcu	0xab565714
dev_get_stats	0x237296fe
dev_queue_xmit	0x173641ac
dev_set_name	0xd75566fd
device_add	0xf8c05891
device_add_groups	0xa7e1c423
device_create	0x4f34d4f1
device_create_file	0x367241b6
device_create_with_groups	0xaf65f1f4
device_del	0xc4482556
device_destroy	0x40af62cf
device_find_child	0xb8be5615
device_for_each_child	0xd368e105
device_get_match_data	0x032068f3
device_get_next_child_node	0xf06b81b1
device_initialize	0x88150c45
device_link_add	0x33a519f2
device_match_fwnode	0x6bcff370
device_match_name	0x24f929e0
device_property_present	0x2ead6a7c
device_property_read_string	0xb3244493
device_property_read_u16_array	0xb2fa45de
device_property_read_u32_array	0xa15d2592
device_register	0x80f2140f
device_remove_file	0x57489972
device_rename	0x32d489b5
device_show_int	0xa34ca1c8
device_store_int	0xdebbaf19
device_unregister	0xff2c916f
devm_device_add_group	0x78c50e4e
devm_device_remove_group	0x04a64f8f
drm_add_edid_modes	0x040b5d0e
drm_atomic_commit	0x1ff156d2
drm_atomic_get_connector_state	0x77e8406c
drm_atomic_get_crtc_state	0x49669785
drm_atomic_get_plane_state	0x70492d3a
drm_atomic_helper_check	0x70d78d7b
drm_atomic_helper_cleanup_planes	0x6158226b
drm_atomic_helper_commit_duplicated_state	0x650bef6a
drm_atomic_helper_commit_hw_done	0x65e2e6dd
drm_atomic_helper_commit_modeset_disables	0xf0c00091
drm_atomic_helper_commit_modeset_enables	0x74108658
drm_atomic_helper_commit_planes	0xd70c97a9
drm_atomic_helper_dirtyfb	0x61ce3a7d
drm_atomic_helper_disable_plane	0x8371a783
drm_atomic_helper_duplicate_state	0x9bf60251
drm_atomic_helper_page_flip	0x00743552
drm_atomic_helper_prepare_planes	0xd0a99eb4
drm_atomic_helper_set_config	0xae9ee200
drm_atomic_helper_shutdown	0x313165d4
drm_atomic_helper_swap_state	0x4471a5f4
drm_atomic_helper_update_legacy_modeset_state	0xf53ec9de
drm_atomic_helper_update_plane	0x462e17db
drm_atomic_helper_wait_for_fences	0x4672c2cb
drm_atomic_helper_wait_for_vblanks	0x528e34d6
drm_atomic_set_crtc_for_connector	0x75f2e902
drm_atomic_set_crtc_for_plane	0x0fff5aeb
drm_atomic_set_fb_for_plane	0x2c999882
drm_atomic_set_fence_for_plane	0xcf993fbb
drm_atomic_set_mode_for_crtc	0x559d805d
drm_atomic_state_alloc	0x9eb3bb97
drm_atomic_state_clear	0x4ea14526
drm_atomic_state_default_clear	0x74d2ce75
drm_atomic_state_default_release	0x96ca1898
drm_atomic_state_init	0xf457f051
drm_bridge_attach	0xee2a9618
drm_bridge_chain_disable	0x2246963b
drm_bridge_chain_enable	0xdfe5a882
drm_bridge_chain_mode_set	0x381b7730
drm_bridge_chain_post_disable	0x4bfc6cde
drm_bridge_chain_pre_enable	0x917e400b
drm_client_init	0x691f9bd2
drm_client_modeset_commit_locked	0xe0cf2404
drm_client_register	0x2506f847
drm_connector_attach_encoder	0x2fc029bb
drm_connector_cleanup	0xd8aae854
drm_connector_init	0x7717512f
drm_connector_list_iter_begin	0xada8d962
drm_connector_list_iter_end	0x394911be
drm_connector_list_iter_next	0x6570b417
drm_connector_unregister	0xeca7728c
drm_connector_update_edid_property	0x3aa4392f
drm_crtc_cleanup	0xc36c47b7
drm_crtc_handle_vblank	0x24397759
drm_crtc_init_with_planes	0x955330a3
drm_crtc_send_vblank_event	0x241f80f0
drm_crtc_set_max_vblank_count	0x0f6d11da
drm_crtc_vblank_off	0x09569d83
drm_crtc_vblank_on	0xfaebc925
drm_crtc_vblank_reset	0xc06c28c6
drm_crtc_wait_one_vblank	0x4c19ff8d
drm_encoder_cleanup	0xe3243960
drm_encoder_init	0x5794a2f2
drm_framebuffer_init	0x41266544
drm_framebuffer_lookup	0xd29fffb9
drm_gem_fb_create_handle	0x9833b3b5
drm_gem_fb_destroy	0x6d312776
drm_gem_fb_get_obj	0x6bee7f12
drm_get_edid	0xb4d0f15c
drm_helper_mode_fill_fb_struct	0x1278591e
drm_helper_probe_single_connector_modes	0x29b4b697
drm_kms_helper_poll_disable	0xe83f32d0
drm_kms_helper_poll_enable	0x1ba4614b
drm_kms_helper_poll_fini	0x4c6539d4
drm_kms_helper_poll_init	0x6cb3eab3
drm_mode_object_find	0x94f476db
drm_mode_object_get	0xf6d4f458
